track,level,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
position_additive,set,497,294,0.5915492957746479,0.6206393936449325,0.6829044702840005,0.24489183723926544,0.43662595748901367,0.5703184008598328
position_additive,series,186,118,0.6344086021505376,0.6483580018501388,0.6753681133759742,0.24115195870399475,0.4166162610054016,0.6089869141578674
cross_position,set,497,277,0.5573440643863179,0.6203316814044635,0.683091647020022,0.24498486518859863,0.4409092664718628,0.5615654587745667
cross_position,series,186,106,0.5698924731182796,0.6438482886216466,0.675522673501622,0.2412358522415161,0.4193125367164612,0.5921211242675781
upper_lower,set,497,283,0.5694164989939637,0.6257085479221326,0.6836551819868508,0.2452632337808609,0.4446474611759186,0.5551041960716248
upper_lower,series,186,115,0.6182795698924731,0.6581868640148011,0.6756554193959139,0.24129170179367065,0.4188106060028076,0.5825269222259521
always_50,series,186,92,0.4946236559139785,0.5,0.6931471805599453,0.25,0.5,0.5
2025_set_winrate,series,186,94,0.5053763440860215,0.47120721554116557,0.6938878249087995,0.2503697331163363,0.47467449831280906,0.4797346652715536
