candidate,seed,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
all13_2025,42,0.5268817204301075,0.5649861239592969,0.6898212501478344,0.24833859503269196,0.46114975214004517,0.545730471611023
all13_2025,43,0.5913978494623656,0.6244218316373727,0.6841244219114334,0.24549509584903717,0.4396701753139496,0.5729417204856873
all13_2025,44,0.6021505376344086,0.6393385753931544,0.6639647991264584,0.23571926355361938,0.28706294298171997,0.7358348965644836
all13_2024_2025,42,0.4838709677419355,0.4898242368177613,0.6945508762199577,0.25070133805274963,0.45340847969055176,0.5472661852836609
all13_2024_2025,43,0.5591397849462365,0.5906567992599445,0.6890712147397087,0.24796468019485474,0.4532626271247864,0.5446341037750244
all13_2024_2025,44,0.6075268817204301,0.6376040703052729,0.6669383436910467,0.2370792031288147,0.2928704619407654,0.7130236625671387
all13_2023_2024_2025,42,0.4946236559139785,0.5041628122109159,0.6936889465054707,0.25027069449424744,0.45247942209243774,0.5469483137130737
all13_2023_2024_2025,43,0.5483870967741935,0.5659111933395005,0.6902396785152992,0.24854841828346252,0.4544193148612976,0.544844388961792
all13_2023_2024_2025,44,0.5913978494623656,0.6330943570767807,0.6687337815130361,0.23795698583126068,0.3249383866786957,0.691205620765686
reduced_2025,42,0.6182795698924731,0.6314754856614246,0.6824984300700506,0.24468863010406494,0.4207901358604431,0.5814317464828491
reduced_2025,43,0.5591397849462365,0.6333256244218317,0.6664539216260301,0.23692582547664642,0.3316589593887329,0.6960600018501282
reduced_2025,44,0.6021505376344086,0.6369102682701203,0.6651583262365284,0.23628591001033783,0.3145451247692108,0.714988112449646
reduced_2024_2025,42,0.5752688172043011,0.6355226641998151,0.6678382528363552,0.23755088448524475,0.3396714925765991,0.7007977962493896
reduced_2024_2025,43,0.5967741935483871,0.6010638297872342,0.6889133033913359,0.24788546562194824,0.4524012804031372,0.5353706479072571
reduced_2024_2025,44,0.5967741935483871,0.6339037927844587,0.6679523735718048,0.23758850991725922,0.3083643913269043,0.7060948014259338
reduced_2023_2024_2025,42,0.6129032258064516,0.6339037927844589,0.684046085050395,0.2454575151205063,0.4305341839790344,0.5694366693496704
reduced_2023_2024_2025,43,0.5806451612903226,0.5778214616096207,0.6899741213655615,0.2484154999256134,0.4548644423484802,0.5377762317657471
reduced_2023_2024_2025,44,0.5967741935483871,0.6382978723404256,0.6673604287702918,0.23728619515895844,0.318030446767807,0.6918428540229797
