candidate,month,n,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
all13_2023_2024_2025,2026-01,24,0.625,0.762962962962963,0.6682698601277209,0.23759908045700415,0.45360761880874634,0.5622390508651733
all13_2023_2024_2025,2026-02,15,0.6,0.5227272727272727,0.6941243014036748,0.25046508674827733,0.4357130527496338,0.5494648218154907
all13_2023_2024_2025,2026-03,1,0.0,,0.7039057884777018,0.25537909807793824,0.5053504705429077,0.5053504705429077
all13_2023_2024_2025,2026-04,44,0.6590909090909091,0.6581196581196581,0.6740971979153634,0.24050321940264016,0.4376086890697479,0.5623984932899475
all13_2023_2024_2025,2026-05,46,0.717391304347826,0.8057692307692308,0.6665029389679319,0.23670283688132135,0.4431711435317993,0.5595203638076782
all13_2023_2024_2025,2026-06,5,0.4,0.6666666666666666,0.7080350292118629,0.25746278734177486,0.45231369137763977,0.5703575015068054
all13_2023_2024_2025,2026-07,6,0.3333333333333333,0.22222222222222224,0.7032892576838159,0.2550690199548266,0.48198533058166504,0.5159796476364136
all13_2023_2024_2025,2026-08,38,0.4473684210526316,0.43768115942028984,0.698810137749566,0.25282255950656196,0.43519675731658936,0.5528560876846313
all13_2023_2024_2025,2026-09,7,0.42857142857142855,0.4,0.7001339807369938,0.2534668409709407,0.4607779383659363,0.5543990135192871
all13_2024_2025,2026-01,24,0.6666666666666666,0.7555555555555555,0.6648113846774282,0.23587788741284024,0.45004111528396606,0.5646149516105652
all13_2024_2025,2026-02,15,0.6,0.5681818181818182,0.6928852267915866,0.24984178430003556,0.43122416734695435,0.5550936460494995
all13_2024_2025,2026-03,1,0.0,,0.6996666034730106,0.25325966549928935,0.5032491087913513,0.5032491087913513
all13_2024_2025,2026-04,44,0.6590909090909091,0.6623931623931624,0.6710939250799844,0.23901425372172838,0.4288996160030365,0.5668700933456421
all13_2024_2025,2026-05,46,0.7391304347826086,0.7865384615384615,0.664067201410997,0.23549630669300153,0.43402284383773804,0.5673501491546631
all13_2024_2025,2026-06,5,0.4,0.3333333333333333,0.7179842844445208,0.26234650652905317,0.45023512840270996,0.5878733396530151
all13_2024_2025,2026-07,6,0.3333333333333333,0.22222222222222224,0.707324612112782,0.25708215842489707,0.4702933132648468,0.514795184135437
all13_2024_2025,2026-08,38,0.4473684210526316,0.4521739130434782,0.6984343848373229,0.2526350833553116,0.42853844165802,0.5669335722923279
all13_2024_2025,2026-09,7,0.42857142857142855,0.5,0.6936834668461881,0.2502677850834134,0.45545127987861633,0.5630861520767212
all13_2025,2026-01,24,0.75,0.7703703703703704,0.6592307233890216,0.2331120026057204,0.44233083724975586,0.5751776695251465
all13_2025,2026-02,15,0.6666666666666666,0.6136363636363636,0.6926528284217308,0.24972175673096425,0.4258382320404053,0.5614312887191772
all13_2025,2026-03,1,1.0,,0.6870567655943688,0.24695483034180654,0.49694550037384033,0.49694550037384033
all13_2025,2026-04,44,0.6590909090909091,0.6987179487179487,0.66240542875575,0.2347115472370377,0.4209541082382202,0.5833930373191833
all13_2025,2026-05,46,0.7608695652173914,0.7769230769230768,0.6588176012570192,0.23290555322297998,0.4166162610054016,0.5897221565246582
all13_2025,2026-06,5,0.4,0.3333333333333333,0.7170615038550976,0.2618473032009902,0.45585793256759644,0.6089869141578674
all13_2025,2026-07,6,0.3333333333333333,0.22222222222222224,0.7109022681786129,0.25886564003708745,0.4639299213886261,0.5164437294006348
all13_2025,2026-08,38,0.47368421052631576,0.46376811594202894,0.6982723219411302,0.2525718082924413,0.4216999411582947,0.5863497257232666
