candidate,accuracy_delta,ci95_low,ci95_high
all13_2023_2024_2025,-0.043010752688172046,-0.08602150537634409,-0.005376344086021506
all13_2024_2025,-0.03225806451612903,-0.06451612903225806,0.0
all13_2025,0.0,0.0,0.0
reduced_2023_2024_2025,-0.016129032258064516,-0.05913978494623656,0.021505376344086023
reduced_2024_2025,-0.04838709677419355,-0.0967741935483871,-0.005376344086021506
reduced_2025,-0.06451612903225806,-0.10752688172043011,-0.026881720430107527
