candidate,selected_on_2025,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
all13_2025,False,186,118,0.6344086021505376,0.6483580018501388,0.6753681133759742,0.24115195870399475,0.4166162610054016,0.6089869141578674
all13_2024_2025,False,186,112,0.6021505376344086,0.6406105457909343,0.6793215171211824,0.24310560524463654,0.42853844165802,0.5878733396530151
all13_2023_2024_2025,False,186,110,0.5913978494623656,0.6357539315448659,0.6811252301727502,0.24400247633457184,0.43519675731658936,0.5703575015068054
reduced_2025,False,186,106,0.5698924731182796,0.6426919518963922,0.6688255532918664,0.23798780143260956,0.3766648769378662,0.6567748785018921
reduced_2024_2025,False,186,109,0.5860215053763441,0.639222941720629,0.6718151458014512,0.23943258821964264,0.3876118063926697,0.6324180364608765
reduced_2023_2024_2025,True,186,115,0.6182795698924731,0.6462765957446809,0.6776211554819578,0.2422647327184677,0.4275161623954773,0.5882034301757812
