variant,seed,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
always_50,0,0.5112540192926045,0.5,0.6931471805599454,0.25,0.5,0.5
base_7,42,0.5048231511254019,0.5487007613373055,0.6903774095272246,0.24704617769092774,0.08398455381393433,0.9661845564842224
base_7,43,0.5498392282958199,0.540756372062231,0.7245083160636756,0.26209315941582945,0.09999421238899231,0.9158936738967896
base_7,44,0.5241157556270096,0.5699685534591195,0.6935424469908601,0.24876706812264274,0.16231834888458252,0.9087181687355042
fit_winrate,0,0.4887459807073955,0.5172335319430652,0.7110920501012195,0.2587582255899323,0.375,0.4796747967479675
lead10_baron_9,42,0.5691318327974276,0.6038563389606091,0.6738735161025444,0.24065173891137107,0.2773784101009369,0.7234477996826172
lead10_baron_9,43,0.5787781350482315,0.6027391592188017,0.6803674204720463,0.24342702410811928,0.13779598474502563,0.8871297836303711
lead10_baron_9,44,0.5562700964630225,0.5912363455809335,0.6832394651421315,0.244499995943267,0.1527979075908661,0.9132987260818481
lead15_baron_9,42,0.5659163987138264,0.5727821913273751,0.689739059029475,0.24794201534393098,0.22454920411109924,0.7770552635192871
lead15_baron_9,43,0.5852090032154341,0.6072492552135054,0.6769445857028534,0.24177104081831227,0.18604639172554016,0.8642160892486572
lead15_baron_9,44,0.5466237942122186,0.589746772591857,0.6795538142371643,0.24250512537675326,0.1886063516139984,0.9114841222763062
lead20_baron_9,42,0.5916398713826366,0.6059665673618007,0.6759056409000649,0.2414089632941276,0.2437305450439453,0.7419929504394531
lead20_baron_9,43,0.5016077170418006,0.565003310162198,0.6850439180818485,0.24571055068533373,0.19121146202087402,0.8526344895362854
lead20_baron_9,44,0.5369774919614148,0.5784922211188348,0.6829759036725108,0.24429005853572072,0.0746074914932251,0.9214265942573547
logistic_6,0,0.5498392282958199,0.6262826878517047,0.6629836539892313,0.23655698678844853,0.09903823624774916,0.8494827157809304
minimal_3,42,0.617363344051447,0.6181314134392586,0.6733211154600919,0.24036131522263024,0.22343623638153076,0.8025276064872742
minimal_3,43,0.6109324758842444,0.6174280039721947,0.6761580945936323,0.24149339244936757,0.14785894751548767,0.8712199330329895
minimal_3,44,0.5852090032154341,0.6271102284011916,0.6687198409268678,0.2380142375299838,0.2140951156616211,0.8128823041915894
original_lead15_9,42,0.5498392282958199,0.5676100628930818,0.6872643761202106,0.2472078897103221,0.27529048919677734,0.7281408905982971
