track,month,n,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
cross_position,2026-01,24,0.7083333333333334,0.7555555555555555,0.6616465207685267,0.23430219701934094,0.42804834246635437,0.5604305267333984
cross_position,2026-02,15,0.4,0.34090909090909094,0.7086332111550168,0.2577018922106374,0.4310494065284729,0.5502102971076965
cross_position,2026-03,1,1.0,,0.6622260662875566,0.2345444861590842,0.4842979311943054,0.4842979311943054
cross_position,2026-04,44,0.6363636363636364,0.7115384615384616,0.6632988112685622,0.2351627019283663,0.4274860918521881,0.5789673328399658
cross_position,2026-05,46,0.717391304347826,0.7673076923076924,0.6611996657101122,0.23408544436052706,0.4193125367164612,0.5735584497451782
cross_position,2026-06,5,0.4,0.6666666666666666,0.6872037708306569,0.2472552809865393,0.46565964818000793,0.5921211242675781
cross_position,2026-07,6,0.3333333333333333,0.3333333333333333,0.7048859258291126,0.25586492436659175,0.4715977907180786,0.521933376789093
cross_position,2026-08,38,0.39473684210526316,0.4753623188405797,0.6920768147412651,0.24947690962499425,0.44282642006874084,0.5671615600585938
cross_position,2026-09,7,0.2857142857142857,0.4,0.7016272495797329,0.2542666651778203,0.4598847031593323,0.56367027759552
position_additive,2026-01,24,0.75,0.7703703703703704,0.6592307233890216,0.2331120026057204,0.44233083724975586,0.5751776695251465
position_additive,2026-02,15,0.6666666666666666,0.6136363636363636,0.6926528284217308,0.24972175673096425,0.4258382320404053,0.5614312887191772
position_additive,2026-03,1,1.0,,0.6870567655943688,0.24695483034180654,0.49694550037384033,0.49694550037384033
position_additive,2026-04,44,0.6590909090909091,0.6987179487179487,0.66240542875575,0.2347115472370377,0.4209541082382202,0.5833930373191833
position_additive,2026-05,46,0.7608695652173914,0.7769230769230768,0.6588176012570192,0.23290555322297998,0.4166162610054016,0.5897221565246582
position_additive,2026-06,5,0.4,0.3333333333333333,0.7170615038550976,0.2618473032009902,0.45585793256759644,0.6089869141578674
position_additive,2026-07,6,0.3333333333333333,0.22222222222222224,0.7109022681786129,0.25886564003708745,0.4639299213886261,0.5164437294006348
position_additive,2026-08,38,0.47368421052631576,0.46376811594202894,0.6982723219411302,0.2525718082924413,0.4216999411582947,0.5863497257232666
position_additive,2026-09,7,0.42857142857142855,0.4,0.6976520688255571,0.25223856858385496,0.45920395851135254,0.5675222277641296
