candidate,selected_on_2025,n,correct,mean_abs_distance_from_50,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
reference_2025,False,186,118,0.033323753625154495,0.6344086021505376,0.6483580018501388,0.6753681214348476,0.24115195870399475,0.4166162610054016,0.6089869141578674
pooled_2023_2025,False,186,110,0.02428223006427288,0.5913978494623656,0.6357539315448659,0.6811252264182828,0.24400246143341064,0.4351966977119446,0.5703575015068054
pooled_2025_scaler,False,186,111,0.029383044689893723,0.5967741935483871,0.6329787234042553,0.6791713864535361,0.24303364753723145,0.41872134804725647,0.5922733545303345
pooled_recent_weights,False,186,109,0.021871712058782578,0.5860215053763441,0.6351757631822387,0.6822208493300543,0.24454674124717712,0.44039618968963623,0.5645952224731445
pooled_matched_epochs,False,186,110,0.04124346747994423,0.5913978494623656,0.636332099907493,0.6741246153406478,0.24054943025112152,0.39512836933135986,0.623767077922821
selected_2025,False,186,106,0.04947937652468681,0.5698924731182796,0.6426919518963922,0.668825556104961,0.23798780143260956,0.37666475772857666,0.6567748785018921
selected_2024_2025,False,186,109,0.04244114086031914,0.5860215053763441,0.639222941720629,0.6718151388772873,0.23943258821964264,0.3876118063926697,0.6324179768562317
selected_2023_2025,True,186,115,0.028455078601837158,0.6182795698924731,0.6462765957446809,0.6776212806291597,0.2422647774219513,0.4275151491165161,0.5882045030593872
