candidate,seed,epoch,train_loss,validation_series_log_loss
reference_2025,42,1,0.6992483735084534,0.6873255769071599
reference_2025,42,2,0.6987927556037903,0.6872328913798824
reference_2025,42,3,0.6983403563499451,0.6872431130454933
reference_2025,42,4,0.6978846192359924,0.6873090752191352
reference_2025,42,5,0.6974181532859802,0.6873710459101912
reference_2025,42,6,0.6969518661499023,0.6873490766054371
reference_2025,42,7,0.6964850425720215,0.687304522282294
reference_2025,42,8,0.6960144639015198,0.687224305074389
reference_2025,42,9,0.6955200433731079,0.687269033003522
reference_2025,42,10,0.6950386762619019,0.6875223573427676
reference_2025,42,11,0.6945824027061462,0.687854190088018
reference_2025,42,12,0.6941409707069397,0.6882211925164163
reference_2025,42,13,0.6937195658683777,0.6885021006250707
reference_2025,42,14,0.6933082342147827,0.6887627677323717
reference_2025,42,15,0.6929274797439575,0.6888357104035197
reference_2025,42,16,0.6925783157348633,0.6888350588126031
reference_2025,42,17,0.6922612190246582,0.6888834056046971
reference_2025,42,18,0.6919353604316711,0.6888882866241826
reference_2025,42,19,0.6916083097457886,0.6887817644356953
reference_2025,42,20,0.6913098692893982,0.6886297134791376
reference_2025,42,21,0.6910162568092346,0.6885653057895008
reference_2025,42,22,0.6907168626785278,0.6885559534327578
reference_2025,42,23,0.690406322479248,0.6884439785727915
reference_2025,42,24,0.6900985240936279,0.6883983734312397
reference_2025,42,25,0.6898005604743958,0.6883588155425804
reference_2025,42,26,0.6895077228546143,0.6883848079792863
reference_2025,42,27,0.689208447933197,0.6884630738868678
reference_2025,42,28,0.6888986229896545,0.6885349828600973
reference_2025,42,29,0.6885807514190674,0.688625635687414
reference_2025,42,30,0.6882501840591431,0.6887599303116299
reference_2025,42,31,0.68790602684021,0.6889822023568675
reference_2025,42,32,0.6875484585762024,0.6892627987643578
reference_2025,42,33,0.6871877312660217,0.6895481821728997
reference_2025,42,34,0.686828076839447,0.6898227383421871
reference_2025,42,35,0.6864667534828186,0.6900422075841169
reference_2025,42,36,0.6861019134521484,0.6902546703590154
reference_2025,42,37,0.6857309341430664,0.6904088787350756
reference_2025,42,38,0.6853453516960144,0.6904662839302919
reference_2025,43,1,0.6886205673217773,0.6904734561855156
reference_2025,43,2,0.687903881072998,0.6907864368802997
reference_2025,43,3,0.6871733069419861,0.6908977399229459
reference_2025,43,4,0.6864094734191895,0.6906085367458931
reference_2025,43,5,0.6856297850608826,0.6904229189355758
reference_2025,43,6,0.6848750710487366,0.6903426179767372
reference_2025,43,7,0.6841313242912292,0.6902983650427227
reference_2025,43,8,0.6833812594413757,0.6903224844105557
reference_2025,43,9,0.6826361417770386,0.6903957526900859
reference_2025,43,10,0.6818981766700745,0.6906371197387967
reference_2025,43,11,0.6811486482620239,0.690949286979776
reference_2025,43,12,0.6803866624832153,0.6912897531275828
reference_2025,43,13,0.6796145439147949,0.6915797405565602
reference_2025,43,14,0.6788525581359863,0.6917424692523586
reference_2025,43,15,0.6781347393989563,0.6918938515832752
reference_2025,43,16,0.6774575710296631,0.691990022276319
reference_2025,43,17,0.67680823802948,0.69209068393973
reference_2025,43,18,0.6761788725852966,0.6921534345060669
reference_2025,43,19,0.6755658388137817,0.6922264084399657
reference_2025,43,20,0.674949586391449,0.692254257778457
reference_2025,43,21,0.6743564009666443,0.692296541488429
reference_2025,43,22,0.673770010471344,0.6923218116556541
reference_2025,43,23,0.6731828451156616,0.6923052314758559
reference_2025,43,24,0.6726187467575073,0.6922486505210056
reference_2025,43,25,0.6720569729804993,0.692222506789548
reference_2025,43,26,0.67149418592453,0.6922070362630167
reference_2025,43,27,0.6709321141242981,0.6922458848775584
reference_2025,43,28,0.6703886985778809,0.6923507084914277
reference_2025,43,29,0.6698474287986755,0.6924303288665391
reference_2025,43,30,0.669317901134491,0.6924939291484048
reference_2025,43,31,0.6687809228897095,0.6925966488963983
reference_2025,43,32,0.6682444214820862,0.6927050093686843
reference_2025,43,33,0.6677097082138062,0.6928116009011029
reference_2025,43,34,0.6671700477600098,0.6929016136480447
reference_2025,43,35,0.6666209697723389,0.6930054798605818
reference_2025,43,36,0.6660729646682739,0.6930965902438574
reference_2025,43,37,0.6655267477035522,0.6931780510772714
reference_2025,44,1,0.6939114928245544,0.6927814003397283
reference_2025,44,2,0.6937819123268127,0.6927791106981577
reference_2025,44,3,0.6936402320861816,0.6927560924467329
reference_2025,44,4,0.6934882998466492,0.6927532681313003
reference_2025,44,5,0.6933425664901733,0.6927553195694022
reference_2025,44,6,0.6932043433189392,0.6927865903788368
reference_2025,44,7,0.6930710673332214,0.6927910995578996
reference_2025,44,8,0.6929568648338318,0.6927885449389041
reference_2025,44,9,0.6928615570068359,0.6927731914905335
reference_2025,44,10,0.6927604675292969,0.6927548297115597
reference_2025,44,11,0.6926683783531189,0.6927248363395356
reference_2025,44,12,0.6925801038742065,0.6926875886375141
reference_2025,44,13,0.6924878358840942,0.6926540082515216
reference_2025,44,14,0.6923911571502686,0.692636678124386
reference_2025,44,15,0.6922876238822937,0.6926231769388985
reference_2025,44,16,0.6921819448471069,0.6926003755951622
reference_2025,44,17,0.6920711994171143,0.692585890523219
reference_2025,44,18,0.6919528245925903,0.6925658311228409
reference_2025,44,19,0.6918259859085083,0.6925416411361248
reference_2025,44,20,0.691688060760498,0.6925066374025591
reference_2025,44,21,0.6915414929389954,0.6924676557154065
reference_2025,44,22,0.6913885474205017,0.6924273246560989
reference_2025,44,23,0.6912294030189514,0.6923815361761827
reference_2025,44,24,0.6910635232925415,0.6923349656812202
reference_2025,44,25,0.690890371799469,0.6922969386133381
reference_2025,44,26,0.6907095909118652,0.6922715220980695
reference_2025,44,27,0.6905211806297302,0.6922279175298088
reference_2025,44,28,0.690325915813446,0.6921682529060526
reference_2025,44,29,0.6901217699050903,0.6920686695073223
reference_2025,44,30,0.6899053454399109,0.6919327878726116
reference_2025,44,31,0.6896727085113525,0.6917878682005301
reference_2025,44,32,0.6894245147705078,0.6915663129179154
reference_2025,44,33,0.6891635656356812,0.6913035062488511
reference_2025,44,34,0.6888921856880188,0.6910637577637545
reference_2025,44,35,0.6886107325553894,0.6908284760455305
reference_2025,44,36,0.688316822052002,0.6906752356281722
reference_2025,44,37,0.6880039572715759,0.6905827065163568
reference_2025,44,38,0.6876674294471741,0.6904479759799723
reference_2025,44,39,0.6873229146003723,0.6904180239205735
reference_2025,44,40,0.6869691014289856,0.6903786483213975
reference_2025,44,41,0.6866162419319153,0.69039185991745
reference_2025,44,42,0.6862563490867615,0.6904320249425318
reference_2025,44,43,0.6858825087547302,0.6904469662483187
reference_2025,44,44,0.6854931712150574,0.690372414017166
reference_2025,44,45,0.6850906014442444,0.6902333566546328
reference_2025,44,46,0.6846713423728943,0.6901092400614149
reference_2025,44,47,0.6842399835586548,0.6899815957870409
reference_2025,44,48,0.6837928295135498,0.6898559293859337
reference_2025,44,49,0.6833326816558838,0.6897146343933616
reference_2025,44,50,0.682853639125824,0.6895291148174921
reference_2025,44,51,0.6823514699935913,0.6893404823443559
reference_2025,44,52,0.6818253397941589,0.6891297704788839
reference_2025,44,53,0.6812790036201477,0.68890604106164
reference_2025,44,54,0.6807138919830322,0.6887041297991159
reference_2025,44,55,0.6801331639289856,0.6885019713081302
reference_2025,44,56,0.6795329451560974,0.6882930904549496
reference_2025,44,57,0.6789111495018005,0.6880509217351493
reference_2025,44,58,0.6782681941986084,0.6878002190644619
reference_2025,44,59,0.6776047348976135,0.6875321657110602
reference_2025,44,60,0.676917552947998,0.6872283382023805
reference_2025,44,61,0.6762112379074097,0.6868762543426741
reference_2025,44,62,0.6754836440086365,0.6865131142506552
reference_2025,44,63,0.674729585647583,0.6861399586249476
reference_2025,44,64,0.6739543080329895,0.6858082555826912
reference_2025,44,65,0.6731611490249634,0.685494441630099
reference_2025,44,66,0.6723435521125793,0.6851903852355105
reference_2025,44,67,0.6715011596679688,0.6848832673807583
reference_2025,44,68,0.6706330180168152,0.6846236082255821
reference_2025,44,69,0.6697472333908081,0.6843892514723695
reference_2025,44,70,0.66884446144104,0.6841641270750993
reference_2025,44,71,0.6679225564002991,0.6839567215388515
reference_2025,44,72,0.6669825315475464,0.6837411391310562
reference_2025,44,73,0.6660332679748535,0.6835558593125016
reference_2025,44,74,0.6650717258453369,0.6834359960756136
reference_2025,44,75,0.6640940308570862,0.6833528572166289
reference_2025,44,76,0.6631013751029968,0.6832882516434398
