candidate,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
reference_2025,123,80,0.6504065040650406,0.6724413646055437,0.6594286354885901,0.22830127699064445,0.10251551121473312,0.976956844329834
pooled_2023_2025,123,78,0.6341463414634146,0.6974946695095948,0.6229531528875224,0.21729719561130953,0.03923293575644493,0.9505445957183838
pooled_2025_scaler,123,78,0.6341463414634146,0.6897654584221748,0.636191182544172,0.22086534715622166,0.052556656301021576,0.9629321098327637
pooled_recent_weights,123,76,0.6178861788617886,0.6988272921108742,0.6298294142428401,0.21925363988262495,0.04404564946889877,0.9566518068313599
pooled_matched_epochs,123,81,0.6585365853658537,0.6748400852878464,0.653174736263915,0.22842925912556758,0.0648980438709259,0.9407551288604736
selected_2025,123,81,0.6585365853658537,0.6902985074626865,0.6484019323990787,0.22327304129164247,0.07574521750211716,0.9808471202850342
selected_2024_2025,123,78,0.6341463414634146,0.6902985074626865,0.6281352008987865,0.2191177511838087,0.039378877729177475,0.9499962329864502
selected_2023_2025,123,81,0.6585365853658537,0.6892324093816631,0.6261501151500792,0.21888399653288254,0.053678736090660095,0.9322860240936279
