_key,league,date,reason
2024|LCK|LOLTMNT02_42276,LCK,2024-02-04 10:13:23,eligible
2024|LCK|LOLTMNT01_55642,LCK,2024-02-14 08:05:22,eligible
2024|LCK|LOLTMNT01_56440,LCK,2024-02-14 08:59:16,eligible
2024|LCK|LOLTMNT01_55683,LCK,2024-02-14 10:36:57,eligible
2024|LCK|LOLTMNT01_55709,LCK,2024-02-14 11:35:15,eligible
2024|LCK|LOLTMNT01_57068,LCK,2024-02-15 08:08:36,eligible
2024|LCK|LOLTMNT01_56898,LCK,2024-02-15 08:55:57,eligible
2024|LCK|LOLTMNT01_57117,LCK,2024-02-15 10:40:15,eligible
2024|LCK|LOLTMNT01_57141,LCK,2024-02-15 11:27:44,eligible
2024|LCK|LOLTMNT01_58248,LCK,2024-02-16 08:06:23,eligible
2024|LCK|LOLTMNT01_59105,LCK,2024-02-16 08:54:39,eligible
2024|LCK|LOLTMNT01_59130,LCK,2024-02-16 10:38:10,eligible
2024|LCK|LOLTMNT01_58334,LCK,2024-02-16 11:31:10,eligible
2024|LCK|LOLTMNT01_59177,LCK,2024-02-16 12:21:36,eligible
2024|LCK|LOLTMNT01_58454,LCK,2024-02-17 06:07:13,eligible
2024|LCK|LOLTMNT01_58466,LCK,2024-02-17 06:53:58,eligible
2024|LCK|LOLTMNT01_58502,LCK,2024-02-17 08:46:31,eligible
2024|LCK|LOLTMNT01_59378,LCK,2024-02-17 09:36:59,eligible
2024|LCK|LOLTMNT01_58693,LCK,2024-02-18 06:05:36,eligible
2024|LCK|LOLTMNT01_59546,LCK,2024-02-18 06:57:28,eligible
2024|LCK|LOLTMNT01_59570,LCK,2024-02-18 08:36:47,eligible
2024|LCK|LOLTMNT01_58738,LCK,2024-02-18 09:29:45,eligible
2024|LCK|LOLTMNT02_52081,LCK,2024-02-21 08:07:20,eligible
2024|LCK|LOLTMNT02_52097,LCK,2024-02-21 08:58:01,eligible
2024|LCK|LOLTMNT02_52104,LCK,2024-02-21 10:01:25,eligible
2024|LCK|LOLTMNT02_52146,LCK,2024-02-21 11:36:08,eligible
2024|LCK|LOLTMNT02_53024,LCK,2024-02-21 12:54:02,eligible
2024|LCK|LOLTMNT02_53518,LCK,2024-02-22 08:06:59,eligible
2024|LCK|LOLTMNT02_52683,LCK,2024-02-22 09:03:58,eligible
2024|LCK|LOLTMNT02_53568,LCK,2024-02-22 10:35:50,eligible
2024|LCK|LOLTMNT02_53589,LCK,2024-02-22 11:24:40,eligible
2024|LCK|LOLTMNT02_55054,LCK,2024-02-23 08:06:36,eligible
2024|LCK|LOLTMNT02_55082,LCK,2024-02-23 09:02:12,eligible
2024|LCK|LOLTMNT02_54260,LCK,2024-02-23 09:55:12,eligible
2024|LCK|LOLTMNT02_54309,LCK,2024-02-23 11:49:51,eligible
2024|LCK|LOLTMNT02_54335,LCK,2024-02-23 12:37:18,eligible
2024|LCK|LOLTMNT02_55559,LCK,2024-02-24 06:06:58,eligible
2024|LCK|LOLTMNT02_55581,LCK,2024-02-24 07:00:42,eligible
2024|LCK|LOLTMNT02_55608,LCK,2024-02-24 08:41:13,eligible
2024|LCK|LOLTMNT02_55648,LCK,2024-02-24 09:37:15,eligible
2024|LCK|LOLTMNT02_57040,LCK,2024-02-25 06:07:25,eligible
2024|LCK|LOLTMNT05_23416,LCK,2024-02-25 08:08:10,eligible
2024|LCK|LOLTMNT05_22318,LCK,2024-02-25 11:29:45,eligible
2024|LCK|LOLTMNT02_56629,LCK,2024-02-26 06:05:24,eligible
2024|LCK|LOLTMNT02_57594,LCK,2024-02-26 06:55:11,eligible
2024|LCK|LOLTMNT02_56660,LCK,2024-02-26 07:56:04,eligible
2024|LCK|LOLTMNT02_58682,LCK,2024-02-28 08:08:27,eligible
2024|LCK|LOLTMNT02_59611,LCK,2024-02-28 09:02:22,eligible
2024|LCK|LOLTMNT02_58729,LCK,2024-02-28 10:41:35,eligible
2024|LCK|LOLTMNT02_59735,LCK,2024-02-28 14:09:25,eligible
2024|LCK|LOLTMNT02_60097,LCK,2024-02-29 06:15:20,eligible
2024|LCK|LOLTMNT02_60111,LCK,2024-02-29 07:05:45,eligible
2024|LCK|LOLTMNT02_61137,LCK,2024-02-29 08:28:17,eligible
2024|LCK|LOLTMNT02_60170,LCK,2024-02-29 09:34:51,eligible
2024|LCK|LOLTMNT02_61171,LCK,2024-02-29 10:29:38,eligible
2024|LCK|LOLTMNT02_61503,LCK,2024-03-01 06:13:58,eligible
2024|LCK|LOLTMNT02_61525,LCK,2024-03-01 07:10:39,eligible
2024|LCK|LOLTMNT02_61530,LCK,2024-03-01 08:13:17,eligible
2024|LCK|LOLTMNT02_61569,LCK,2024-03-01 09:29:21,eligible
2024|LCK|LOLTMNT02_61595,LCK,2024-03-01 10:20:23,eligible
2024|LCK|LOLTMNT02_63137,LCK,2024-03-02 04:14:34,eligible
2024|LCK|LOLTMNT02_62151,LCK,2024-03-02 05:14:02,eligible
2024|LCK|LOLTMNT02_62157,LCK,2024-03-02 06:05:03,eligible
2024|LCK|LOLTMNT02_63186,LCK,2024-03-02 07:23:52,eligible
2024|LCK|LOLTMNT02_62190,LCK,2024-03-02 08:13:50,eligible
2024|LCK|LOLTMNT02_63383,LCK,2024-03-03 04:14:05,eligible
2024|LCK|LOLTMNT02_63386,LCK,2024-03-03 05:31:01,eligible
2024|LCK|LOLTMNT02_62374,LCK,2024-03-03 06:24:26,eligible
2024|LCK|LOLTMNT02_63419,LCK,2024-03-03 08:03:59,eligible
2024|LCK|LOLTMNT02_63428,LCK,2024-03-03 08:54:08,eligible
2024|LCK|LOLTMNT03_48260,LCK,2024-03-06 05:13:35,eligible
2024|LCK|LOLTMNT03_48267,LCK,2024-03-06 06:04:42,eligible
2024|LCK|LOLTMNT03_49237,LCK,2024-03-06 07:00:48,eligible
2024|LCK|LOLTMNT03_48296,LCK,2024-03-06 08:29:39,eligible
2024|LCK|LOLTMNT03_48298,LCK,2024-03-06 09:20:38,eligible
2024|LCK|LOLTMNT03_49696,LCK,2024-03-07 05:14:55,eligible
2024|LCK|LOLTMNT03_48739,LCK,2024-03-07 06:03:52,eligible
2024|LCK|LOLTMNT03_49732,LCK,2024-03-07 07:38:12,eligible
2024|LCK|LOLTMNT03_48767,LCK,2024-03-07 08:40:10,eligible
2024|LCK|LOLTMNT03_50149,LCK,2024-03-08 05:14:08,eligible
2024|LCK|LOLTMNT03_50154,LCK,2024-03-08 06:01:01,eligible
2024|LCK|LOLTMNT03_50179,LCK,2024-03-08 07:35:09,eligible
2024|LCK|LOLTMNT03_50183,LCK,2024-03-08 08:38:35,eligible
2024|LCK|LOLTMNT03_50419,LCK,2024-03-09 05:15:10,eligible
2024|LCK|LOLTMNT03_51351,LCK,2024-03-09 06:11:18,eligible
2024|LCK|LOLTMNT03_51376,LCK,2024-03-09 07:35:20,eligible
2024|LCK|LOLTMNT03_50454,LCK,2024-03-09 08:38:57,eligible
2024|LCK|LOLTMNT03_51631,LCK,2024-03-10 05:14:41,eligible
2024|LCK|LOLTMNT03_51637,LCK,2024-03-10 06:06:00,eligible
2024|LCK|LOLTMNT03_50744,LCK,2024-03-10 07:00:43,eligible
2024|LCK|LOLTMNT03_51663,LCK,2024-03-10 08:22:30,eligible
2024|LCK|LOLTMNT03_50768,LCK,2024-03-10 09:24:28,eligible
2024|LCK|LOLTMNT03_50770,LCK,2024-03-10 10:15:57,eligible
2024|LCK|LOLTMNT03_52759,LCK,2024-03-13 08:04:23,eligible
2024|LCK|LOLTMNT03_52764,LCK,2024-03-13 08:53:58,eligible
2024|LCK|LOLTMNT03_52770,LCK,2024-03-13 09:55:28,eligible
