track,month,n,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
cross_position,2026-01,24,0.7083333333333334,0.7851851851851851,0.6597621630088218,0.2333567829137773,0.4400043785572052,0.5550766587257385
cross_position,2026-02,15,0.4,0.2954545454545454,0.7031352218030276,0.2549723799826041,0.43741801381111145,0.5418580770492554
cross_position,2026-03,1,1.0,,0.621236749604869,0.2141102183085799,0.46272045373916626,0.46272045373916626
cross_position,2026-04,44,0.6590909090909091,0.7158119658119657,0.6634313926330703,0.23521701295089245,0.4291895031929016,0.5767309665679932
cross_position,2026-05,46,0.717391304347826,0.7942307692307692,0.6633569230499644,0.23514739375650506,0.42130473256111145,0.5732754468917847
cross_position,2026-06,5,0.4,0.6666666666666666,0.6944836317184173,0.2508203093136972,0.4660397469997406,0.585561990737915
cross_position,2026-07,6,0.5,0.3333333333333333,0.6959355712128058,0.2513936759678012,0.4787905514240265,0.5205737352371216
cross_position,2026-08,38,0.42105263157894735,0.4695652173913043,0.6954647147302647,0.251157114800287,0.43963223695755005,0.5647448301315308
cross_position,2026-09,7,0.2857142857142857,0.30000000000000004,0.6990432160870191,0.2529624764461798,0.4752659201622009,0.5601144433021545
position_additive,2026-01,24,0.6666666666666666,0.7925925925925925,0.6454621391343253,0.2263289637652897,0.41050785779953003,0.5907437205314636
position_additive,2026-02,15,0.5333333333333333,0.4318181818181819,0.6991835734591126,0.2529482240817021,0.3984602689743042,0.5846415162086487
position_additive,2026-03,1,1.0,,0.6815201293150392,0.24418673864806806,0.4941525459289551,0.4941525459289551
position_additive,2026-04,44,0.6590909090909091,0.6923076923076923,0.6545842959258991,0.23087889775400813,0.3942360281944275,0.6014604568481445
position_additive,2026-05,46,0.7391304347826086,0.7807692307692308,0.6523579909040186,0.2297156865362459,0.4067172408103943,0.6069462299346924
position_additive,2026-06,5,0.4,0.3333333333333333,0.7254618003887626,0.266036526763726,0.43279290199279785,0.6301798224449158
position_additive,2026-07,6,0.3333333333333333,0.22222222222222224,0.7079937560020607,0.257419064501462,0.4754470884799957,0.5158779621124268
position_additive,2026-08,38,0.4473684210526316,0.41449275362318844,0.707300866127866,0.2570362106913363,0.39092469215393066,0.5939570665359497
position_additive,2026-09,7,0.42857142857142855,0.4,0.7148974576001251,0.26074605315615074,0.44816702604293823,0.5887699127197266
upper_lower,2026-01,24,0.7083333333333334,0.7925925925925926,0.673838763693991,0.24036008371532724,0.4622330367565155,0.5413254499435425
upper_lower,2026-02,15,0.3333333333333333,0.34090909090909094,0.6993919063681445,0.2531220282508467,0.46504610776901245,0.5398870706558228
upper_lower,2026-03,1,1.0,,0.655476164143066,0.23117365786734823,0.4808052182197571,0.4808052182197571
upper_lower,2026-04,44,0.6818181818181818,0.7521367521367521,0.6710523634667968,0.23897656354279642,0.4538121819496155,0.5486999750137329
upper_lower,2026-05,46,0.717391304347826,0.7999999999999999,0.674272672673368,0.24057211372609466,0.4501403272151947,0.5438302755355835
upper_lower,2026-06,5,0.4,0.6666666666666666,0.6837678628405359,0.24535847270049374,0.4748496413230896,0.5533706545829773
upper_lower,2026-07,6,0.5,0.5555555555555556,0.6856393599905258,0.24624830494533567,0.48490288853645325,0.522230327129364
upper_lower,2026-08,38,0.4473684210526316,0.45507246376811594,0.6966986097879385,0.25177340904490625,0.4568132758140564,0.5450684428215027
upper_lower,2026-09,7,0.42857142857142855,0.3,0.7003468725616744,0.2535955904602409,0.4801870286464691,0.5341483950614929
