regime,track,level,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
lck_only_2025,position_additive,set,497,294,0.5915492957746479,0.6206393936449325,0.6829044702840005,0.2448918372392654,0.4366259574890136,0.5703184008598328
lck_only_2025,position_additive,series,186,118,0.6344086021505376,0.6483580018501388,0.6753681133759742,0.2411519587039947,0.4166162610054016,0.6089869141578674
lck_only_2025,cross_position,set,497,277,0.5573440643863179,0.6203316814044635,0.683091647020022,0.2449848651885986,0.4409092664718628,0.5615654587745667
lck_only_2025,cross_position,series,186,106,0.5698924731182796,0.6438482886216466,0.675522673501622,0.2412358522415161,0.4193125367164612,0.5921211242675781
lck_only_2025,upper_lower,set,497,283,0.5694164989939637,0.6257085479221326,0.6836551819868508,0.2452632337808609,0.4446474611759186,0.5551041960716248
lck_only_2025,upper_lower,series,186,115,0.6182795698924731,0.6581868640148011,0.6756554193959139,0.2412917017936706,0.4188106060028076,0.5825269222259521
multi_league_2025,position_additive,set,497,293,0.5895372233400402,0.6154730670812685,0.6813842563693433,0.24414001405239105,0.418339341878891,0.5847048759460449
multi_league_2025,position_additive,series,186,112,0.6021505376344086,0.6399167437557818,0.6732662810249264,0.2401246875524521,0.39092469215393066,0.6301798224449158
multi_league_2025,cross_position,set,497,285,0.5734406438631791,0.6251579049655038,0.6834604034043384,0.24516673386096954,0.44148698449134827,0.5620338320732117
multi_league_2025,cross_position,series,186,109,0.5860215053763441,0.6585337650323774,0.6756825280767119,0.2413051575422287,0.42130473256111145,0.585561990737915
multi_league_2025,upper_lower,set,497,287,0.5774647887323944,0.6276519936514107,0.686849744332591,0.24685373902320862,0.46610453724861145,0.5339252948760986
multi_league_2025,upper_lower,series,186,111,0.5967741935483871,0.6562210915818686,0.6815644244628468,0.24421921372413635,0.4501403272151947,0.5533706545829773
