_key,league,datacompleteness,reason
LCK|LOLTMNT03_186260,LCK,complete,eligible
LPL|11721-11721_game_1,LPL,partial,not_complete
LCK|LOLTMNT03_187132,LCK,complete,eligible
LPL|11721-11721_game_2,LPL,partial,not_complete
LCP|LOLTMNT01_190147,LCP,complete,eligible
LFL2|LOLTMNT06_96308,LFL2,complete,eligible
LCP|LOLTMNT01_190170,LCP,complete,eligible
LPL|11721-11721_game_3,LPL,partial,not_complete
LFL2|LOLTMNT06_96309,LFL2,complete,eligible
LFL2|LOLTMNT06_96312,LFL2,complete,eligible
LCP|LOLTMNT01_190206,LCP,complete,eligible
LFL2|LOLTMNT06_96315,LFL2,complete,eligible
LCP|LOLTMNT01_189225,LCP,complete,eligible
LEC|LOLTMNT06_96344,LEC,complete,eligible
LEC|LOLTMNT06_96348,LEC,complete,eligible
LEC|LOLTMNT06_95363,LEC,complete,eligible
LEC|LOLTMNT06_96368,LEC,complete,eligible
LEC|LOLTMNT06_95385,LEC,complete,eligible
LCK|LOLTMNT03_187435,LCK,complete,eligible
LCK|LOLTMNT03_187440,LCK,complete,eligible
LCK|LOLTMNT03_187470,LCK,complete,eligible
LPL|11722-11722_game_1,LPL,partial,not_complete
LCK|LOLTMNT03_187471,LCK,complete,eligible
LPL|11722-11722_game_2,LPL,partial,not_complete
LCP|LOLTMNT01_190269,LCP,complete,eligible
LPL|11722-11722_game_3,LPL,partial,not_complete
LFL2|LOLTMNT06_96403,LFL2,complete,eligible
LCP|LOLTMNT01_189281,LCP,complete,eligible
LPL|11722-11722_game_4,LPL,partial,not_complete
LFL2|LOLTMNT06_95400,LFL2,complete,eligible
LFL2|LOLTMNT06_95402,LFL2,complete,eligible
LCP|LOLTMNT01_189290,LCP,complete,eligible
LFL2|LOLTMNT06_95404,LFL2,complete,eligible
LCP|LOLTMNT01_189291,LCP,complete,eligible
LEC|LOLTMNT06_96430,LEC,complete,eligible
LEC|LOLTMNT06_95435,LEC,complete,eligible
LEC|LOLTMNT06_95446,LEC,complete,eligible
LEC|LOLTMNT06_96459,LEC,complete,eligible
LEC|LOLTMNT06_96473,LEC,complete,eligible
LCKC|LOLTMNT03_186856,LCKC,complete,eligible
LCKC|LOLTMNT03_186861,LCKC,complete,eligible
LPL|11723-11723_game_1,LPL,partial,not_complete
LCKC|LOLTMNT03_186902,LCKC,complete,eligible
LPL|11723-11723_game_2,LPL,partial,not_complete
LCKC|LOLTMNT03_186913,LCKC,complete,eligible
LPL|11723-11723_game_3,LPL,partial,not_complete
LCKC|LOLTMNT03_186938,LCKC,complete,eligible
LCKC|LOLTMNT03_186971,LCKC,complete,eligible
LCKC|LOLTMNT03_187887,LCKC,complete,eligible
LCKC|LOLTMNT03_188043,LCKC,complete,eligible
LEC|LOLTMNT06_95500,LEC,complete,eligible
LEC|LOLTMNT06_96516,LEC,complete,eligible
LEC|LOLTMNT06_96529,LEC,complete,eligible
LEC|LOLTMNT06_95531,LEC,complete,eligible
LEC|LOLTMNT06_96548,LEC,complete,eligible
