track,seed,epoch,train_loss,validation_series_log_loss
position_additive,42,1,0.6972707509994507,0.6856906977235612
position_additive,42,2,0.6969740986824036,0.6856346805653711
position_additive,42,3,0.6966869235038757,0.685624886744333
position_additive,42,4,0.6964057683944702,0.6856730244084328
position_additive,42,5,0.6961294412612915,0.6856954826420514
position_additive,42,6,0.6958534717559814,0.6857156435881769
position_additive,42,7,0.6955740451812744,0.6858251831633858
position_additive,42,8,0.6952986121177673,0.6860175326548149
position_additive,42,9,0.6950278878211975,0.6861671611016292
position_additive,42,10,0.6947582364082336,0.6862974868421455
position_additive,42,11,0.6944924592971802,0.686638748736807
position_additive,42,12,0.6942325830459595,0.6870317590529496
position_additive,42,13,0.6939734220504761,0.6874182838067232
position_additive,42,14,0.6937037110328674,0.6877298876320983
position_additive,42,15,0.6934258937835693,0.6879487814913408
position_additive,42,16,0.6931511759757996,0.6881914897051261
position_additive,42,17,0.6928738951683044,0.6881583067161098
position_additive,42,18,0.6925953030586243,0.6881234273439981
position_additive,42,19,0.6923196315765381,0.6880954952942666
position_additive,42,20,0.692046046257019,0.6880130080406401
position_additive,42,21,0.6917703151702881,0.6879183786480136
position_additive,42,22,0.691498339176178,0.6879068032335198
position_additive,42,23,0.6912208795547485,0.6880373536609342
position_additive,42,24,0.6909352540969849,0.6883733655844252
position_additive,42,25,0.6906498074531555,0.6886542786809159
position_additive,42,26,0.6903611421585083,0.6889575868721948
position_additive,42,27,0.6900659799575806,0.6892677457685704
position_additive,42,28,0.6897723078727722,0.6894125344543016
position_additive,42,29,0.6894741058349609,0.6893944290087882
position_additive,42,30,0.689175009727478,0.6892534658874058
position_additive,42,31,0.688870906829834,0.6889736932888757
position_additive,42,32,0.6885594129562378,0.6888176160373972
position_additive,42,33,0.6882369518280029,0.6886869127565918
position_additive,43,1,0.6897280216217041,0.6919802040687844
position_additive,43,2,0.6891911029815674,0.6919851845461262
position_additive,43,3,0.688660204410553,0.6918644096454575
position_additive,43,4,0.6881329417228699,0.6918929557913894
position_additive,43,5,0.6876062154769897,0.6918998519775922
position_additive,43,6,0.6870770454406738,0.6920689286574289
position_additive,43,7,0.686547040939331,0.6924249929063918
position_additive,43,8,0.6860123872756958,0.6926553549862069
position_additive,43,9,0.6854722499847412,0.6929144904419574
position_additive,43,10,0.6849366426467896,0.6930348561762179
position_additive,43,11,0.6844041347503662,0.6930392312754068
position_additive,43,12,0.6838811635971069,0.6929868945525962
position_additive,43,13,0.6833592653274536,0.6928914480567858
position_additive,43,14,0.6828462481498718,0.6928458748709886
position_additive,43,15,0.6823433041572571,0.6925432809823948
position_additive,43,16,0.681851863861084,0.692118904316231
position_additive,43,17,0.6813719868659973,0.6918060265776339
position_additive,43,18,0.6808959245681763,0.6916225336768875
position_additive,43,19,0.6804342865943909,0.6913445350910917
position_additive,43,20,0.679982602596283,0.691148982581211
position_additive,43,21,0.6795356869697571,0.6909677587772497
