variant,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
selected_baseline,186,114,0.6129032258064516,0.6396854764107307,0.6784146598746723,0.24265462160110474,0.4176386892795563,0.5915626287460327
player_leads,186,111,0.5967741935483871,0.6282377428307123,0.6845988095320913,0.24573218822479248,0.43368038535118103,0.5546093583106995
team_lead_frequency,186,95,0.510752688172043,0.4966466234967623,0.7182693773469233,0.26165997982025146,0.22028855979442596,0.7296313047409058
team_lead_conversion,186,102,0.5483870967741935,0.5587419056429233,0.7020974618892102,0.25328710675239563,0.14776358008384705,0.8016859889030457
