_key,league,date,reason
2025|LEC|LOLTMNT04_107128,LEC,2025-04-20 16:07:56,eligible
2025|LEC|LOLTMNT04_106127,LEC,2025-04-20 17:13:18,eligible
2025|LEC|LOLTMNT04_107139,LEC,2025-04-20 18:14:19,eligible
2025|LTA N|LOLTMNT01_226543,LTA N,2025-04-20 20:06:58,eligible
2025|LTA N|LOLTMNT01_227186,LTA N,2025-04-20 21:02:57,eligible
2025|LTA N|LOLTMNT01_227215,LTA N,2025-04-20 22:02:17,eligible
2025|LTA N|LOLTMNT01_226667,LTA N,2025-04-20 22:53:25,eligible
2025|LPL|12002-12002_game_1,LPL,2025-04-21 09:26:04,not_complete
2025|LPL|12002-12002_game_2,LPL,2025-04-21 10:35:09,not_complete
2025|LPL|12002-12002_game_3,LPL,2025-04-21 11:33:01,not_complete
2025|LPL|12003-12003_game_1,LPL,2025-04-21 12:44:09,not_complete
2025|LPL|12003-12003_game_2,LPL,2025-04-21 13:34:30,not_complete
2025|LEC|LOLTMNT04_106164,LEC,2025-04-21 15:08:19,eligible
2025|LEC|LOLTMNT04_106166,LEC,2025-04-21 16:08:11,eligible
2025|LEC|LOLTMNT04_106169,LEC,2025-04-21 17:01:56,eligible
2025|LEC|LOLTMNT04_106173,LEC,2025-04-21 17:55:01,eligible
2025|LEC|LOLTMNT04_107177,LEC,2025-04-21 18:47:43,eligible
2025|LTA N|LOLTMNT01_227642,LTA N,2025-04-21 20:07:10,eligible
2025|LTA N|LOLTMNT01_228101,LTA N,2025-04-21 20:53:30,eligible
2025|LTA N|LOLTMNT01_227664,LTA N,2025-04-21 21:39:42,eligible
2025|LTA N|LOLTMNT01_228131,LTA N,2025-04-21 22:34:22,eligible
2025|LPL|12004-12004_game_1,LPL,2025-04-22 09:23:12,not_complete
2025|LPL|12004-12004_game_2,LPL,2025-04-22 10:10:34,not_complete
2025|LPL|12005-12005_game_1,LPL,2025-04-22 11:28:13,not_complete
2025|LPL|12005-12005_game_2,LPL,2025-04-22 12:26:04,not_complete
2025|LCK|LOLTMNT01_228752,LCK,2025-04-23 08:05:24,eligible
2025|LCK|LOLTMNT01_229352,LCK,2025-04-23 09:09:16,eligible
2025|LPL|12006-12006_game_1,LPL,2025-04-23 09:24:21,not_complete
2025|LPL|12006-12006_game_2,LPL,2025-04-23 10:16:06,not_complete
2025|LCK|LOLTMNT01_228803,LCK,2025-04-23 10:22:22,eligible
2025|LCK|LOLTMNT01_228821,LCK,2025-04-23 11:15:41,eligible
2025|LPL|12007-12007_game_1,LPL,2025-04-23 11:24:07,not_complete
2025|LPL|12007-12007_game_2,LPL,2025-04-23 12:35:31,not_complete
2025|LPL|12007-12007_game_3,LPL,2025-04-23 13:54:50,not_complete
2025|LCK|LOLTMNT01_230375,LCK,2025-04-24 08:06:14,eligible
2025|LCK|LOLTMNT01_229915,LCK,2025-04-24 09:03:42,eligible
2025|LPL|12008-12008_game_1,LPL,2025-04-24 09:24:34,not_complete
2025|LCK|LOLTMNT01_229932,LCK,2025-04-24 10:18:06,eligible
2025|LPL|12008-12008_game_2,LPL,2025-04-24 10:20:27,not_complete
2025|LCK|LOLTMNT01_230468,LCK,2025-04-24 11:12:58,eligible
2025|LPL|12008-12008_game_3,LPL,2025-04-24 11:24:16,not_complete
2025|LPL|12009-12009_game_1,LPL,2025-04-24 12:50:26,not_complete
2025|LPL|12009-12009_game_2,LPL,2025-04-24 13:41:37,not_complete
2025|LCK|LOLTMNT01_231505,LCK,2025-04-25 08:06:28,eligible
2025|LCK|LOLTMNT01_232089,LCK,2025-04-25 09:00:02,eligible
2025|LPL|12010-12010_game_1,LPL,2025-04-25 09:23:28,not_complete
2025|LCK|LOLTMNT01_232113,LCK,2025-04-25 10:18:33,eligible
2025|LPL|12010-12010_game_2,LPL,2025-04-25 10:20:14,not_complete
2025|LPL|12010-12010_game_3,LPL,2025-04-25 11:10:59,not_complete
2025|LCK|LOLTMNT01_231666,LCK,2025-04-25 11:16:32,eligible
2025|LCK|LOLTMNT01_231710,LCK,2025-04-25 12:04:59,eligible
2025|LPL|12011-12011_game_1,LPL,2025-04-25 12:42:12,not_complete
2025|LPL|12011-12011_game_2,LPL,2025-04-25 13:35:07,not_complete
2025|LCK|LOLTMNT01_232663,LCK,2025-04-26 06:07:29,eligible
2025|LCK|LOLTMNT01_233515,LCK,2025-04-26 07:09:50,eligible
2025|LCK|LOLTMNT01_233535,LCK,2025-04-26 07:59:46,eligible
