variant,month,n,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
player_leads,2026-01,24,0.7083333333333334,0.8814814814814815,0.6714526229053396,0.2391679043330038,0.46417224407196045,0.547278881072998
player_leads,2026-02,15,0.6,0.5454545454545454,0.6933654794638998,0.2501040714232442,0.4604267179965973,0.5342716574668884
player_leads,2026-03,1,1.0,,0.5685966699642047,0.18807867663834887,0.43368038535118103,0.43368038535118103
player_leads,2026-04,44,0.6363636363636364,0.6474358974358974,0.6840509902747138,0.24545683947910335,0.464780330657959,0.5403702855110168
player_leads,2026-05,46,0.5869565217391305,0.6788461538461539,0.6810947066005149,0.24398410567730197,0.4575779438018799,0.5436226725578308
player_leads,2026-06,5,0.4,0.3333333333333333,0.695422861465996,0.25112294596914586,0.4785533845424652,0.5522609353065491
player_leads,2026-07,6,0.6666666666666666,0.5555555555555556,0.6969234540497123,0.2518869646411502,0.4832969009876251,0.5234925746917725
player_leads,2026-08,38,0.5263157894736842,0.5623188405797102,0.6913608180547867,0.249103504320313,0.44179338216781616,0.5449529886245728
player_leads,2026-09,7,0.42857142857142855,0.30000000000000004,0.6989243921666034,0.2528969971879326,0.47108879685401917,0.5546093583106995
selected_baseline,2026-01,24,0.6666666666666666,0.7925925925925926,0.6596721365263193,0.23332344553407444,0.4451858401298523,0.56955885887146
selected_baseline,2026-02,15,0.6,0.5227272727272727,0.6959087674566745,0.2513496396234411,0.4263054132461548,0.5610736012458801
selected_baseline,2026-03,1,1.0,,0.6910256000017614,0.24893921131501884,0.49893808364868164,0.49893808364868164
selected_baseline,2026-04,44,0.6818181818181818,0.6816239316239316,0.6670584629193914,0.2370066333932633,0.4229879081249237,0.5734285116195679
selected_baseline,2026-05,46,0.717391304347826,0.7826923076923077,0.662257497252917,0.2345965401245012,0.4344375729560852,0.5791506767272949
selected_baseline,2026-06,5,0.4,0.3333333333333333,0.7185128400329781,0.26262156824455263,0.4488007426261902,0.5915626287460327
selected_baseline,2026-07,6,0.5,0.22222222222222224,0.7067700285640207,0.2568065060283444,0.4742106795310974,0.5173584222793579
selected_baseline,2026-08,38,0.4473684210526316,0.42028985507246375,0.7011279041118331,0.2539748825253532,0.4176386892795563,0.565422534942627
selected_baseline,2026-09,7,0.42857142857142855,0.4,0.7046965765493531,0.25572637539652554,0.464020699262619,0.5665547847747803
team_lead_conversion,2026-01,24,0.625,0.6148148148148148,0.6877324060968769,0.24532607643301318,0.19074924290180206,0.7328400611877441
team_lead_conversion,2026-02,15,0.5333333333333333,0.7954545454545454,0.734831440781835,0.26734338491961673,0.21973863244056702,0.6095911264419556
team_lead_conversion,2026-03,1,0.0,,0.8821665518314493,0.3435305168291194,0.586114764213562,0.586114764213562
team_lead_conversion,2026-04,44,0.6363636363636364,0.655982905982906,0.6587530726706786,0.23358177797833693,0.2626326382160187,0.7004286646842957
team_lead_conversion,2026-05,46,0.6521739130434783,0.7288461538461539,0.6183978765204473,0.21473932340354326,0.2430374175310135,0.7830559015274048
team_lead_conversion,2026-06,5,0.2,0.0,0.9043731028902258,0.35072653884469407,0.4025880694389343,0.7074959874153137
team_lead_conversion,2026-07,6,0.16666666666666666,0.3333333333333333,0.8122262949672594,0.3081358664239957,0.2945288419723511,0.727036714553833
team_lead_conversion,2026-08,38,0.42105263157894735,0.4231884057971015,0.7594220332998354,0.2809683822809908,0.27541375160217285,0.8016859889030457
team_lead_conversion,2026-09,7,0.42857142857142855,0.2,0.9278877448491861,0.3478628535754371,0.14776358008384705,0.5943918824195862
team_lead_frequency,2026-01,24,0.5833333333333334,0.5925925925925926,0.7028678083503016,0.25386783587903794,0.2695533037185669,0.6551094055175781
team_lead_frequency,2026-02,15,0.6,0.7954545454545454,0.7138894443828989,0.2577496222905005,0.22136381268501282,0.6164411306381226
team_lead_frequency,2026-03,1,0.0,,0.9059030906250866,0.3550053904800734,0.5958232879638672,0.5958232879638672
team_lead_frequency,2026-04,44,0.4772727272727273,0.4636752136752137,0.7346607872174594,0.2698132642510301,0.32009953260421753,0.6931021809577942
team_lead_frequency,2026-05,46,0.5434782608695652,0.6019230769230769,0.6814742921541799,0.24453499551549363,0.32543298602104187,0.7296313047409058
team_lead_frequency,2026-06,5,0.0,0.0,0.8957469972027688,0.34933895736797993,0.3825454115867615,0.6346101760864258
team_lead_frequency,2026-07,6,0.3333333333333333,0.4444444444444444,0.7374945615809633,0.2724330581867059,0.37583088874816895,0.6985175013542175
team_lead_frequency,2026-08,38,0.5526315789473685,0.510144927536232,0.699478656886027,0.2527793693678974,0.2954658269882202,0.7205243706703186
team_lead_frequency,2026-09,7,0.42857142857142855,0.4,0.8511783000863612,0.32105381213233347,0.22028855979442596,0.5101486444473267
