year,role,feature,mean,std,mean_shift_in_2025_std,std_ratio_to_2025,diff_win_correlation,valid_sets
2023,top,past_result,0.506392931392931,0.283801466279418,-0.0020584176720851136,1.0740149289357637,0.3093728818906271,479
2023,top,past_golddiffat15,8.288236313236307,527.5087193529066,0.008008759625031002,1.37897470122914,0.20891597003772278,479
2023,top,past_xpdiffat15,8.043018018018016,374.34164508403006,0.018721528962749756,1.0469558605441212,0.15627333060343862,479
2023,top,past_csdiffat15,0.06997574497574482,10.167638171405773,0.0029185489183796726,1.1274337633910485,0.12017174281703227,479
2023,top,past_kills_per_min,0.06563559617832704,0.02972903383024312,-0.6156461121145945,0.850298678804232,0.19495037589729297,479
2023,top,past_deaths_per_min,0.07239900775491338,0.028217122967194194,-0.6774214286955748,0.975306431144161,-0.16879866202398852,479
2023,top,past_assists_per_min,0.13012980573153937,0.05816373368505155,-0.6109044646403958,0.9627178434845316,0.23758351734832198,479
2023,top,past_dpm,468.25112912681874,83.41717528608275,-1.3304933530678487,0.8283501072281612,0.16834170817113653,479
2023,top,past_damageshare,0.22674797616077627,0.030143813375716522,-0.08983632225088536,1.0535814901594036,-0.01424895393053837,479
2023,top,past_earnedgoldshare,0.22518713934511447,0.01671343967506147,0.7732816470923645,1.0680788694709502,-0.09949722081029856,479
2023,top,past_cspm,8.429811533264035,0.5631232167134117,1.181231957012167,1.1726090483110088,0.0812019661092663,479
2023,top,past_vision_per_min,1.0909828739167717,0.138632798055475,0.39426005032320255,0.990673589431981,0.01691264057631705,479
2023,top,history_fraction,0.9650924024640657,0.15701639905649142,-0.01641670912548269,1.0414224681796793,0.018622194830556146,487
2023,jng,past_result,0.5044571626777657,0.28672112599266913,-0.0107900120493727,1.0795176977145298,0.3197794548723825,478
2023,jng,past_golddiffat15,2.6921782865071138,345.3570614793816,-0.01657311523302263,1.0714924843230342,0.23050947303846234,478
2023,jng,past_xpdiffat15,-0.16361429066944239,295.4007641614258,-0.024798214231010307,0.8479688887745883,0.16122826270903187,478
2023,jng,past_csdiffat15,-0.004578563995837863,7.4984172507210625,-0.017932122591094193,0.9553086426317563,0.09070252273883775,478
2023,jng,past_kills_per_min,0.0647775433249966,0.03645587447812069,-0.824841366680476,0.9605838210727038,0.21089454815953187,478
2023,jng,past_deaths_per_min,0.07446210946747847,0.028984713344491327,-0.5826548737775396,0.9120608478154311,-0.1885066454763995,478
2023,jng,past_assists_per_min,0.18614842300903522,0.07195528145013401,-0.6745189180740612,0.9871180045607488,0.25172238684838655,478
2023,jng,past_dpm,298.63337544398235,71.07042204426847,-1.696614458311808,0.8887019531919729,0.14299020646663455,478
2023,jng,past_damageshare,0.14367776149150194,0.025330547449520797,-0.8629650371485011,1.0954942089834592,0.008118716245599024,478
2023,jng,past_earnedgoldshare,0.17472880714533467,0.012390740627987843,-1.5931137488867428,0.9890665795998236,0.04125016945803034,478
2023,jng,past_cspm,5.549069476240034,0.47514161198542876,-1.9740563011334926,1.0121906743167697,0.19811830989867663,478
2023,jng,past_vision_per_min,1.8201181058465576,0.26557366866542614,1.2718243499464104,1.486217414418292,0.015033452686761744,478
2023,jng,history_fraction,0.9620123203285421,0.16336570334975764,-0.021726988597240218,1.0460818675202985,0.044870309017395464,487
2023,mid,past_result,0.5089422407794012,0.28771541771480336,0.005251656492698788,1.0795341025618113,0.3169334087242825,475
2023,mid,past_golddiffat15,10.116423103688238,357.8571705077588,0.007250698795736954,1.0646777293241718,0.21573646754007447,475
2023,mid,past_xpdiffat15,3.194815588030622,319.0581424607444,-0.003717233937230926,1.0893546216025953,0.11563798262151911,475
2023,mid,past_csdiffat15,0.1730862908837857,7.775212221897628,0.006821899784113187,1.0252395725888346,0.18314541174656954,475
2023,mid,past_kills_per_min,0.08564458556297694,0.03967232268030914,-0.4334353528245927,0.9757990081123614,0.16782488667574116,475
2023,mid,past_deaths_per_min,0.06603074925050409,0.02639400671847976,-0.4145503683491682,0.930584680078659,-0.24168039660255017,475
2023,mid,past_assists_per_min,0.1457140654967954,0.06472524458055254,-0.8001093074711265,0.9937871747747138,0.27104285120803917,475
2023,mid,past_dpm,554.4482589057062,105.15372134713726,-1.1897148766285912,1.0862474176948285,0.15971742136867495,475
2023,mid,past_damageshare,0.26672768408141934,0.035273373512003985,0.40717356938258975,1.2345973474435115,-0.05606882431308761,475
2023,mid,past_earnedgoldshare,0.23525589838204608,0.018366875360322367,0.07870244112874447,1.2587158670677272,-0.13685010814417398,475
2023,mid,past_cspm,8.92570779749478,0.6305826177338166,0.3307396065473981,1.2312322805455915,0.05275964330237687,475
2023,mid,past_vision_per_min,1.2112598590927497,0.24726844374120313,0.5655921131342145,1.6630334094481927,0.07820923230647206,475
2023,mid,history_fraction,0.9529774127310062,0.18070806860972186,-0.056618322291646074,1.1139539239404597,0.050317679059952686,487
2023,bot,past_result,0.5072546972860122,0.28579180616324257,0.00097675017391476,1.0654070555488742,0.3030223711538048,475
2023,bot,past_golddiffat15,-1.1794711203896933,594.6626081697519,-0.011513022003125416,1.3502552679100197,0.21141707869908583,475
2023,bot,past_xpdiffat15,-2.3292623521224827,374.2768708935132,-0.022637368227577122,1.0996932144368865,0.2577367928833115,475
2023,bot,past_csdiffat15,0.09084899095337512,10.266241315022398,0.00032414281822242853,1.0903735205711211,0.22680692017898993,475
2023,bot,past_kills_per_min,0.11925588147952909,0.05663209874371208,-0.418789124599638,1.0223895767494013,0.2809143882335053,475
2023,bot,past_deaths_per_min,0.06457992201607614,0.030167464260277606,-0.26850832811820136,0.9724998792272448,-0.2343318761606308,475
