_key,league,date,reason
2023|LCK|ESPORTSTMNT03_3099594,LCK,2023-02-03 12:32:21,eligible
2023|LCK|ESPORTSTMNT03_3100826,LCK,2023-02-04 06:07:00,eligible
2023|LCK|ESPORTSTMNT03_3100863,LCK,2023-02-04 07:07:24,eligible
2023|LCK|ESPORTSTMNT03_3098932,LCK,2023-02-04 07:53:01,eligible
2023|LCK|ESPORTSTMNT03_3098936,LCK,2023-02-04 09:39:18,eligible
2023|LCK|ESPORTSTMNT03_3098971,LCK,2023-02-04 10:31:12,eligible
2023|LCK|ESPORTSTMNT03_3098980,LCK,2023-02-04 11:27:58,eligible
2023|LCK|ESPORTSTMNT03_3099980,LCK,2023-02-05 06:08:54,eligible
2023|LCK|ESPORTSTMNT03_3099998,LCK,2023-02-05 07:13:45,eligible
2023|LCK|ESPORTSTMNT03_3103007,LCK,2023-02-05 08:48:10,eligible
2023|LCK|ESPORTSTMNT03_3103038,LCK,2023-02-05 09:44:37,eligible
2023|LCK|ESPORTSTMNT03_3102090,LCK,2023-02-05 10:44:56,eligible
2023|LCK|ESPORTSTMNT01_3304845,LCK,2023-02-08 08:06:49,eligible
2023|LCK|ESPORTSTMNT01_3303961,LCK,2023-02-08 09:07:58,eligible
2023|LCK|ESPORTSTMNT01_3305848,LCK,2023-02-08 10:00:15,eligible
2023|LCK|ESPORTSTMNT01_3304899,LCK,2023-02-08 11:36:31,eligible
2023|LCK|ESPORTSTMNT01_3304926,LCK,2023-02-08 12:32:16,eligible
2023|LCK|ESPORTSTMNT01_3306459,LCK,2023-02-09 08:08:59,eligible
2023|LCK|ESPORTSTMNT01_3308368,LCK,2023-02-09 09:09:41,eligible
2023|LCK|ESPORTSTMNT01_3308372,LCK,2023-02-09 10:03:46,eligible
2023|LCK|ESPORTSTMNT01_3308381,LCK,2023-02-09 11:42:33,eligible
2023|LCK|ESPORTSTMNT01_3306514,LCK,2023-02-09 12:36:54,eligible
2023|LCK|ESPORTSTMNT01_3309028,LCK,2023-02-10 08:07:07,eligible
2023|LCK|ESPORTSTMNT01_3309043,LCK,2023-02-10 09:01:42,eligible
2023|LCK|ESPORTSTMNT01_3308953,LCK,2023-02-10 10:00:13,eligible
2023|LCK|ESPORTSTMNT01_3309058,LCK,2023-02-10 11:30:21,eligible
2023|LCK|ESPORTSTMNT01_3309094,LCK,2023-02-10 12:23:47,eligible
2023|LCK|ESPORTSTMNT01_3311011,LCK,2023-02-10 13:14:08,eligible
2023|LCK|ESPORTSTMNT01_3310502,LCK,2023-02-11 06:09:24,eligible
2023|LCK|ESPORTSTMNT01_3311520,LCK,2023-02-11 07:02:56,eligible
2023|LCK|ESPORTSTMNT01_3310542,LCK,2023-02-11 08:37:24,eligible
2023|LCK|ESPORTSTMNT01_3310561,LCK,2023-02-11 09:27:12,eligible
2023|LCK|ESPORTSTMNT01_3309624,LCK,2023-02-11 10:22:31,eligible
2023|LCK|ESPORTSTMNT01_3309955,LCK,2023-02-12 06:08:24,eligible
2023|LCK|ESPORTSTMNT01_3311892,LCK,2023-02-12 07:08:38,eligible
2023|LCK|ESPORTSTMNT01_3310923,LCK,2023-02-12 08:46:43,eligible
2023|LCK|ESPORTSTMNT01_3309997,LCK,2023-02-12 09:43:50,eligible
2023|LCK|ESPORTSTMNT02_3148631,LCK,2023-02-15 08:07:36,eligible
2023|LCK|ESPORTSTMNT02_3150633,LCK,2023-02-15 08:57:15,eligible
2023|LCK|ESPORTSTMNT02_3150637,LCK,2023-02-15 10:37:15,eligible
2023|LCK|ESPORTSTMNT02_3148704,LCK,2023-02-15 11:39:14,eligible
2023|LCK|ESPORTSTMNT02_3149952,LCK,2023-02-16 08:07:26,eligible
2023|LCK|ESPORTSTMNT02_3150955,LCK,2023-02-16 09:01:44,eligible
2023|LCK|ESPORTSTMNT02_3150959,LCK,2023-02-16 10:37:30,eligible
2023|LCK|ESPORTSTMNT02_3151024,LCK,2023-02-16 11:29:39,eligible
2023|LCK|ESPORTSTMNT02_3148999,LCK,2023-02-16 12:27:12,eligible
2023|LCK|ESPORTSTMNT02_3151319,LCK,2023-02-17 08:07:04,eligible
2023|LCK|ESPORTSTMNT02_3151356,LCK,2023-02-17 08:58:00,eligible
2023|LCK|ESPORTSTMNT02_3152336,LCK,2023-02-17 09:45:24,eligible
2023|LCK|ESPORTSTMNT02_3151375,LCK,2023-02-17 11:26:52,eligible
2023|LCK|ESPORTSTMNT02_3151399,LCK,2023-02-17 12:23:32,eligible
2023|LCK|ESPORTSTMNT02_3151678,LCK,2023-02-18 06:07:18,eligible
2023|LCK|ESPORTSTMNT02_3153683,LCK,2023-02-18 07:00:03,eligible
2023|LCK|ESPORTSTMNT02_3152651,LCK,2023-02-18 08:01:44,eligible
2023|LCK|ESPORTSTMNT02_3151708,LCK,2023-02-18 09:52:41,eligible
2023|LCK|ESPORTSTMNT02_3151734,LCK,2023-02-18 10:43:03,eligible
2023|LCK|ESPORTSTMNT02_3154050,LCK,2023-02-19 06:06:35,eligible
2023|LCK|ESPORTSTMNT02_3156036,LCK,2023-02-19 07:06:40,eligible
2023|LCK|ESPORTSTMNT02_3155063,LCK,2023-02-19 07:56:46,eligible
2023|LCK|ESPORTSTMNT02_3154086,LCK,2023-02-19 09:47:08,eligible
2023|LCK|ESPORTSTMNT02_3156083,LCK,2023-02-19 10:42:38,eligible
2023|LCK|ESPORTSTMNT02_3158638,LCK,2023-02-22 08:05:57,eligible
2023|LCK|ESPORTSTMNT02_3157736,LCK,2023-02-22 08:56:06,eligible
2023|LCK|ESPORTSTMNT02_3159649,LCK,2023-02-22 10:42:52,eligible
2023|LCK|ESPORTSTMNT02_3158788,LCK,2023-02-22 11:34:07,eligible
2023|LCK|ESPORTSTMNT02_3161272,LCK,2023-02-23 08:07:00,eligible
2023|LCK|ESPORTSTMNT02_3161348,LCK,2023-02-23 09:05:46,eligible
2023|LCK|ESPORTSTMNT02_3160419,LCK,2023-02-23 10:09:54,eligible
2023|LCK|ESPORTSTMNT02_3161391,LCK,2023-02-23 11:40:43,eligible
2023|LCK|ESPORTSTMNT02_3162355,LCK,2023-02-23 12:33:48,eligible
2023|LCK|ESPORTSTMNT02_3160953,LCK,2023-02-24 08:07:08,eligible
2023|LCK|ESPORTSTMNT02_3160975,LCK,2023-02-24 08:55:10,eligible
2023|LCK|ESPORTSTMNT02_3160991,LCK,2023-02-24 10:36:34,eligible
2023|LCK|ESPORTSTMNT02_3163043,LCK,2023-02-24 11:35:14,eligible
2023|LCK|ESPORTSTMNT02_3163421,LCK,2023-02-25 06:04:50,eligible
2023|LCK|ESPORTSTMNT02_3164423,LCK,2023-02-25 06:51:15,eligible
2023|LCK|ESPORTSTMNT02_3163473,LCK,2023-02-25 08:37:37,eligible
2023|LCK|ESPORTSTMNT02_3164479,LCK,2023-02-25 09:52:22,eligible
2023|LCK|ESPORTSTMNT02_3163529,LCK,2023-02-25 10:55:00,eligible
2023|LCK|ESPORTSTMNT02_3165696,LCK,2023-02-26 06:05:19,eligible
2023|LCK|ESPORTSTMNT02_3164832,LCK,2023-02-26 07:12:34,eligible
2023|LCK|ESPORTSTMNT02_3163849,LCK,2023-02-26 08:06:25,eligible
2023|LCK|ESPORTSTMNT02_3163865,LCK,2023-02-26 10:00:46,eligible
2023|LCK|ESPORTSTMNT02_3164896,LCK,2023-02-26 10:52:00,eligible
2023|LCK|ESPORTSTMNT03_3111569,LCK,2023-03-01 08:06:31,eligible
2023|LCK|ESPORTSTMNT03_3113604,LCK,2023-03-01 08:52:37,eligible
2023|LCK|ESPORTSTMNT03_3111606,LCK,2023-03-01 10:36:49,eligible
2023|LCK|ESPORTSTMNT03_3111641,LCK,2023-03-01 11:23:23,eligible
2023|LCK|ESPORTSTMNT03_3112838,LCK,2023-03-02 08:08:30,eligible
2023|LCK|ESPORTSTMNT03_3111908,LCK,2023-03-02 09:09:33,eligible
2023|LCK|ESPORTSTMNT03_3113903,LCK,2023-03-02 09:59:57,eligible
2023|LCK|ESPORTSTMNT03_3113908,LCK,2023-03-02 11:46:10,eligible
2023|LCK|ESPORTSTMNT03_3112906,LCK,2023-03-02 12:33:34,eligible
2023|LCK|ESPORTSTMNT03_3115239,LCK,2023-03-03 08:08:03,eligible
2023|LCK|ESPORTSTMNT03_3116248,LCK,2023-03-03 09:00:14,eligible
2023|LCK|ESPORTSTMNT03_3116266,LCK,2023-03-03 10:11:24,eligible
2023|LCK|ESPORTSTMNT03_3116279,LCK,2023-03-03 11:53:29,eligible
2023|LCK|ESPORTSTMNT03_3115330,LCK,2023-03-03 12:37:36,eligible
2023|LCK|ESPORTSTMNT03_3115657,LCK,2023-03-04 06:07:14,eligible
2023|LCK|ESPORTSTMNT03_3116666,LCK,2023-03-04 07:05:17,eligible
2023|LCK|ESPORTSTMNT03_3116676,LCK,2023-03-04 08:46:59,eligible
2023|LCK|ESPORTSTMNT03_3114711,LCK,2023-03-04 09:41:39,eligible
2023|LCK|ESPORTSTMNT03_3116711,LCK,2023-03-04 10:40:47,eligible
2023|LCK|ESPORTSTMNT03_3117109,LCK,2023-03-05 06:09:08,eligible
2023|LCK|ESPORTSTMNT03_3119106,LCK,2023-03-05 07:11:15,eligible
2023|LCK|ESPORTSTMNT03_3117150,LCK,2023-03-05 08:45:20,eligible
2023|LCK|ESPORTSTMNT03_3117167,LCK,2023-03-05 09:31:57,eligible
2023|LCK|ESPORTSTMNT03_3121502,LCK,2023-03-08 08:06:24,eligible
2023|LCK|ESPORTSTMNT03_3122530,LCK,2023-03-08 09:03:51,eligible
2023|LCK|ESPORTSTMNT03_3122536,LCK,2023-03-08 09:58:31,eligible
2023|LCK|ESPORTSTMNT03_3120564,LCK,2023-03-08 11:38:55,eligible
2023|LCK|ESPORTSTMNT03_3122584,LCK,2023-03-08 12:37:13,eligible
2023|LCK|ESPORTSTMNT03_3120628,LCK,2023-03-08 13:36:18,eligible
