candidate,n,correct,accuracy,roc_auc,log_loss,brier_score,probability_min,probability_max
reference_2025,123,79,0.6422764227642277,0.6705756929637527,0.6607302947326457,0.22866671197970082,0.10251548141241074,0.9775340557098389
pooled_2023_2025,123,79,0.6422764227642277,0.6918976545842218,0.62987427111294,0.22031704619537285,0.05527602136135101,0.9410420656204224
pooled_2025_scaler,123,78,0.6341463414634146,0.6892324093816632,0.6361797354288475,0.2208576501841351,0.05248763784766197,0.9629321098327637
pooled_recent_weights,123,76,0.6178861788617886,0.6988272921108742,0.6298294142428401,0.21925363988262495,0.04404564946889877,0.9566518068313599
pooled_matched_epochs,123,81,0.6585365853658537,0.6772388059701493,0.6523946300306704,0.227940034198825,0.06489545106887817,0.9411139488220215
selected_2025,123,81,0.6585365853658537,0.6892324093816631,0.6479585475813958,0.22311026876650442,0.07574521750211716,0.9809799194335938
selected_2024_2025,123,78,0.6341463414634146,0.6900319829424307,0.6281584939667879,0.21912151828421028,0.039514102041721344,0.9499962329864502
selected_2023_2025,123,81,0.6585365853658537,0.6889658848614072,0.6262237080627129,0.21886298638879564,0.053576961159706116,0.9335759878158569
